#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
20,Detroit Pistons,21,9,12,1008,97.5,100.2,-2.7,55.7,1.12,15.2,31.9,68.4,50.6,18.5,47.1,51.3,97.14,47.1,2041.00,2000
20,Orlando Magic,22,9,13,1071,97.3,98.2,-0.9,59.1,1.17,15.6,33.5,65,48.6,18.5,45.4,49.6,94.9,47.6,2114.00,2000
23,New Jersey Nets,22,8,14,1056,94,98.8,-4.8,60.8,1.26,15.5,28.7,67.1,47.2,16.6,43.8,49,93.94,45.3,2067.00,2000
24,Los Angeles Clippers,23,7,16,1119,94.9,99.6,-4.6,50.9,0.91,13.3,36.3,70.6,53.5,20,44.6,48.5,90.92,44.3,2115.00,2000
24,Vancouver Grizzlies,21,7,14,1023,94.5,97.3,-2.8,64.6,1.33,16.7,29.6,70.7,49.6,17.4,43.8,48.8,92.08,47.7,1958.00,2000
26,Golden State Warriors,22,6,16,1071,96.4,104.2,-7.7,60.8,1.29,15.9,35.3,67.6,50.5,17.4,44.2,48.2,96.65,42.7,2158.00,2000
27,Atlanta Hawks,21,5,16,1008,96,102.5,-6.5,50.6,0.93,13.4,32.2,69.3,50.2,19.3,45.3,50.2,92.19,43.3,1935.00,2000
28,Washington Wizards,21,4,17,1008,94.7,100.2,-5.5,60.7,1.13,15.6,29.1,68.9,49,18.7,44.5,50.1,94.79,46.1,1986.00,2000
29,Chicago Bulls,21,2,19,1008,91.4,106.1,-14.8,58.8,1.13,14.8,31.3,65.3,47.4,18,41.8,46.6,90.67,38.4,1904.00,2000
1,Sacramento Kings,23,17,6,1114,104.8,97.5,7.3,59.3,1.63,17,30.2,71.2,50.9,14.5,48.1,52.3,95.5,54,2211.00,2001
2,Los Angeles Lakers,19,16,3,917,106.5,96.7,9.8,60.5,1.68,17.3,32,66.5,49.6,14.4,49.2,52.6,93.75,57.2,1789.00,2001
3,Minnesota Timberwolves,20,15,5,970,108.1,100.4,7.7,64.6,2.03,19.4,36.1,67.6,52.2,13.9,49,52.7,91.52,57.1,1852.00,2001
3,San Antonio Spurs,19,15,4,917,109.4,100.2,9.3,56.8,1.41,16.1,31.5,69.5,51.3,15.7,51.1,55.6,92.05,56.2,1757.00,2001
5,Phoenix Suns,23,14,9,1114,105.1,99.9,5.2,58.1,1.57,17.5,31.2,67.7,50,15.5,49.8,53.5,94.08,53.8,2186.00,2001
6,Dallas Mavericks,22,13,9,1061,107.8,106.9,0.9,57.5,1.9,17,28,66.7,47.5,12.2,49.2,53.8,92.79,50.2,2054.00,2001
6,Detroit Pistons,19,13,6,912,106,99,7,62.5,1.53,18.2,24.2,67.3,46.9,16.1,52.6,56.6,92.42,55.4,1753.00,2001
6,New Jersey Nets,20,13,7,975,99.2,95.1,4.1,65.6,1.65,17.8,32.8,69.6,50.9,15.3,45.6,49.2,94.45,53,1921.00,2001
9,Boston Celtics,19,12,7,932,101.8,97,4.9,60,1.63,16.2,28.6,71.1,49.4,13.6,46.6,50.6,92.34,51.2,1795.00,2001
9,Indiana Pacers,23,12,11,1114,103.1,102.8,0.3,66.5,1.64,18.5,30.9,68,49.8,15.9,47.7,52.3,94.17,51.2,2186.00,2001
9,Los Angeles Clippers,22,12,10,1066,104.2,100.2,3.9,57.8,1.31,16.2,34.6,66.2,51.2,17.2,48.2,53.2,93.16,53.1,2071.00,2001
9,Toronto Raptors,22,12,10,1061,100.9,100.2,0.7,63.3,1.59,17.4,34.3,66.8,50.3,15.6,46.5,49.9,92.18,51.3,2040.00,2001
13,Milwaukee Bucks,18,11,7,869,102.6,103.8,-1.2,61.6,1.52,17.4,28.5,67,48.2,15.8,49.7,53.5,90.31,49,1636.00,2001
13,New York Knicks,21,11,10,1013,97.6,99,-1.4,59.8,1.29,16,30.1,71.2,51.1,16.9,46,50.5,89.75,48.4,1895.00,2001
13,Orlando Magic,23,11,12,1114,107.6,102.1,5.5,57,1.6,16.3,31.7,65.2,48.4,14.1,48.7,53.3,95.05,51.9,2209.00,2001
16,Charlotte Hornets,21,10,11,1008,102.8,105,-2.2,56,1.37,15.7,33.7,69.1,51.2,15.9,46.7,51.2,91.4,47.6,1916.00,2001
16,Portland Trail Blazers,20,10,10,960,106,104.6,1.4,64.6,1.62,18.3,33.6,67.8,50.8,16.1,48.8,53.2,90.03,50.9,1796.00,2001
16,Seattle SuperSonics,25,10,15,1220,104,107.3,-3.3,59.7,1.51,17,32.5,64.5,48.3,15.7,48.5,52.3,91.1,46.7,2313.00,2001
16,Utah Jazz,22,10,12,1071,104.2,105.9,-1.7,70.2,1.4,18.4,36.3,65.5,51.2,18.8,47.6,53.7,92.35,52.1,2061.00,2001
20,Cleveland Cavaliers,21,9,12,1013,100.3,104.2,-3.8,66.1,1.53,17.8,28.7,70.3,49.9,16.2,46.7,51.7,91.02,48.3,1920.00,2001
20,Washington Wizards,21,9,12,1013,99,102.5,-3.5,55.6,1.52,15.7,29.1,69.5,49.1,14.1,44.5,49.3,90.62,47.7,1913.00,2001
22,Atlanta Hawks,22,8,14,1061,100.9,106,-5.1,53.4,1.18,15.1,29.2,68.5,49,17.1,47.7,52.5,93.56,46.9,2069.00,2001
22,Golden State Warriors,22,8,14,1061,98.2,104.4,-6.2,59.4,1.11,14.9,41,68.5,54,19.4,43.1,48.1,93.49,44.7,2068.00,2001
22,Philadelphia 76ers,21,8,13,1008,96.2,96.9,-0.8,55.5,1.11,14.8,34.4,70.7,52.5,18.5,43.7,48.6,89.71,48.8,1880.00,2001
25,Denver Nuggets,21,7,14,1018,103.2,107.1,-3.9,59.8,1.78,16.6,35.1,66.3,49.9,13.4,44.9,49,90.01,45,1909.00,2001
25,Houston Rockets,23,7,16,1119,98.1,104.8,-6.7,54.2,1.18,14.5,32.3,70.6,50.7,16.7,45.2,49.7,89.14,45.3,2080.00,2001
27,Memphis Grizzlies,20,5,15,960,94.6,103.6,-9,64.3,1.38,16.9,29,67.7,47.2,17,45.2,48.7,94.1,43.7,1882.00,2001
28,Chicago Bulls,20,4,16,960,91.2,104.6,-13.4,67.9,1.35,17.2,29.1,69.2,48.8,17.6,43.1,47.5,90.55,42.3,1809.00,2001
28,Miami Heat,20,4,16,975,94.2,99.6,-5.4,60.8,1.32,16.3,28.9,69.7,49.1,16.8,45,48.6,88,46.8,1789.00,2001
1,Dallas Mavericks,23,20,3,1104,110.5,97.6,12.9,56,1.76,16.9,27,68.7,48.7,13,50.8,55.6,95.46,57.3,2194.00,2002
2,Sacramento Kings,25,19,6,1200,103.1,95.8,7.3,61.8,1.56,17.8,29.3,68,49.3,15.7,49.5,53.1,96.24,55.2,2407.00,2002
3,Indiana Pacers,22,17,5,1071,103.1,96.7,6.4,62.7,1.39,17.3,31.8,70.4,51.9,17.2,47.8,53.1,93.71,55.9,2094.00,2002
3,New Orleans Hornets,24,17,7,1172,103.7,98.5,5.2,61.7,1.61,17.1,32.2,67.1,49.4,14.9,47.3,51.8,90.57,53.6,2210.00,2002
5,Boston Celtics,23,16,7,1124,102.5,98.8,3.7,57.4,1.4,15.6,27.7,69.7,48.4,15,48.5,52.6,94.25,51.3,2208.00,2002
5,New Jersey Nets,23,16,7,1109,102.1,93.6,8.5,63.5,1.45,17.3,31,68.1,50,16.6,47.5,52.4,94.79,57.1,2192.00,2002
7,Detroit Pistons,22,15,7,1056,97.9,94.3,3.6,62.9,1.4,16.7,27.3,70.6,49.4,16.3,47.3,51.6,88.36,53.4,1946.00,2002
7,Philadelphia 76ers,23,15,8,1114,100.8,97.5,3.3,60.2,1.45,16.6,31.9,69.9,50.4,15.9,45.8,50.7,93.29,52.1,2163.00,2002
9,San Antonio Spurs,23,14,9,1109,99.2,94.3,4.9,56.3,1.15,15.4,29.8,68.8,50.3,18.1,48.6,52.2,92.71,54.6,2141.00,2002
10,Minnesota Timberwolves,24,13,11,1162,100.5,101.1,-0.6,63.1,1.62,17.5,32,68.3,50.4,15.3,46,50.4,94.27,50.8,2283.00,2002
10,Orlando Magic,24,13,11,1157,103.7,104.5,-0.8,56.8,1.4,15.8,30.2,68.7,49.1,15.4,47.5,52.6,95.09,48.6,2292.00,2002
10,Phoenix Suns,23,13,10,1109,95.3,95.8,-0.5,56.8,1.2,15.4,34.2,68.2,50.6,17.9,43.9,47.7,93.17,48.9,2149.00,2002
10,Seattle SuperSonics,24,13,11,1162,103,102.2,0.8,61.9,1.81,17.9,31,67,48.9,13.9,47.9,51.1,90.22,51.6,2184.00,2002
14,Houston Rockets,22,12,10,1066,100,97.3,2.7,53.5,1.16,14.9,31.8,70.6,51.6,17.4,46.7,51.1,90.24,52,2001.00,2002
14,Utah Jazz,23,12,11,1104,102.1,99.2,2.9,70,1.32,18.3,36.7,67.8,52.9,19.9,47.9,53.5,92.33,55.7,2125.00,2002
16,Portland Trail Blazers,22,11,11,1066,99.5,98.2,1.3,64.4,1.43,17.6,34.2,67.7,51.1,17.5,47.3,50.8,89.76,50.4,1993.00,2002
17,Atlanta Hawks,23,10,13,1124,100.8,103.4,-2.6,59.6,1.12,16,34.2,65.9,51,19.8,47.9,53,93.4,49.2,2187.00,2002
17,Los Angeles Clippers,24,10,14,1162,99.6,102,-2.4,57.9,1.15,15.5,29.9,66.3,48.9,18.3,46.9,52.2,92.86,48.6,2240.00,2002
17,Milwaukee Bucks,23,10,13,1129,105.7,104.2,1.5,58.2,1.59,16.7,29.5,66.1,48.1,14.4,49.7,53.8,92.19,50.1,2168.00,2002
20,Los Angeles Lakers,24,9,15,1172,98.3,102,-3.6,62.3,1.43,16.7,32.2,69.3,50.2,16.3,45.5,49.6,93.67,48.3,2296.00,2002
20,Washington Wizards,22,9,13,1056,98.5,97.8,0.7,56.9,1.24,15.3,31.2,71.4,51.1,16.9,45.3,50.7,90.57,49.5,1991.00,2002
22,Golden State Warriors,23,8,15,1109,103,105.3,-2.4,59.5,1.19,15.3,39.1,65.4,52.3,18.2,45.3,51.3,94.92,49.6,2195.00,2002
23,Chicago Bulls,23,7,16,1109,96.6,103.4,-6.8,57,1.21,15.5,31.2,68.2,49.5,17.5,45.4,49.5,95.68,44.3,2208.00,2002
23,New York Knicks,21,7,14,1023,99.5,102.9,-3.4,59.5,1.34,16.4,29.2,69.2,49,16.7,47.1,51.6,91.87,45.5,1956.00,2002
23,Toronto Raptors,22,7,15,1061,95.2,102.6,-7.4,51.4,1.14,13.7,30.4,68,48.2,16.1,43.8,48.2,92,43.5,2035.00,2002
26,Denver Nuggets,24,6,18,1152,88,97.1,-9.2,60.6,0.97,14.9,36.3,68.6,50.9,21.5,41.4,45,91.48,39.7,2195.00,2002
26,Memphis Grizzlies,25,6,19,1220,99,105.8,-6.8,61.3,1.26,16.7,30.4,63.5,47.3,18.2,47.7,52.2,93.78,46.5,2387.00,2002
26,Miami Heat,23,6,17,1114,94.7,101.9,-7.2,54.5,1.32,14.7,33.1,71.9,51.3,15.4,43.1,46.8,87.71,43.6,2041.00,2002
29,Cleveland Cavaliers,25,5,20,1210,94,104.9,-10.9,58,1.08,14.9,32.8,69.5,50.4,19,43.4,48.3,95.33,41.3,2398.00,2002
1,Indiana Pacers,23,18,5,1114,101,94.3,6.7,61.2,1.38,16.8,33.2,69.5,51.4,17.1,47.1,51.1,87.83,54,2040.00,2003
1,Los Angeles Lakers,22,18,4,1066,105.1,96.7,8.4,65.9,1.7,18.2,29.1,70.2,50.3,14.9,48.9,53.8,96.18,57.9,2133.00,2003
3,New Orleans Hornets,24,17,7,1162,101.4,97.2,4.2,62.7,1.51,16.8,33.4,67,49.8,15.7,46.7,50.3,90.84,51.8,2197.00,2003
4,Sacramento Kings,20,15,5,975,110.2,101.4,8.9,69.9,2.01,20.2,31.8,68.5,50.5,14.5,51,55.4,93.59,56.2,1897.00,2003
5,Dallas Mavericks,22,14,8,1061,106.1,101.4,4.7,57.4,1.78,16.5,33.2,68.4,50.4,13.1,47,51.3,94.82,52.4,2098.00,2003
5,Denver Nuggets,22,14,8,1061,100.5,97.4,3.1,61.5,1.25,15.7,35.9,65.1,50.4,17.6,44.9,50.6,96.2,52.3,2131.00,2003
5,Detroit Pistons,24,14,10,1162,98.6,95.9,2.7,56.9,1.18,14.7,34.4,67.1,50.6,17.2,43.9,50,90.05,52.3,2182.00,2003
5,San Antonio Spurs,24,14,10,1162,97.7,91.4,6.3,62,1.39,16.1,31.2,70.2,51,16.1,44.7,49.3,91.83,56.7,2224.00,2003
9,Houston Rockets,21,13,8,1023,98.4,94.9,3.5,54.4,1.03,14.5,33.1,68,51.6,19.2,47.1,51.5,87.3,52.1,1861.00,2003
9,Minnesota Timberwolves,22,13,9,1071,101.6,98.3,3.3,61.3,1.79,18.3,28.1,67.4,48.6,14.1,48.4,51.9,89.64,54.2,2001.00,2003
9,Toronto Raptors,22,13,9,1071,94.9,98.2,-3.3,63.2,1.35,16.4,29,68.6,48.8,16.6,44.7,49.4,87.69,48.4,1959.00,2003
12,Memphis Grizzlies,21,12,9,1023,100.6,100,0.6,65.2,1.6,17.3,32.8,66.3,48.9,15.3,45.9,50.2,93.16,49.8,1987.00,2003
12,Philadelphia 76ers,23,12,11,1114,98.5,98.8,-0.3,60.7,1.34,15.8,31.8,66,48.6,16.4,44.6,50,89.24,50.1,2069.00,2003
12,Utah Jazz,22,12,10,1061,103.4,101.8,1.6,61.7,1.32,16.8,37.8,69.4,53.5,18.1,46.7,52.1,89.24,51.5,1969.00,2003
15,Boston Celtics,23,11,12,1104,101.4,100.3,1.1,62.7,1.42,17.3,29.2,67.6,49.1,16.8,48.7,52.8,93.07,51.7,2142.00,2003
15,Milwaukee Bucks,23,11,12,1114,101.6,99.5,2.1,63.7,1.59,17.1,32.2,66.1,49.2,15.1,45.9,50.9,93.33,51.8,2165.00,2003
15,New Jersey Nets,22,11,11,1056,98.4,96.3,2.1,71.6,1.67,18.9,29.8,68.5,49.2,15.9,45.9,50.8,91.05,53.3,2006.00,2003
18,Golden State Warriors,21,10,11,1018,100.6,100,0.6,59,1.41,16.6,30.8,71.2,50.8,16.2,47.6,51.2,91.14,49.4,1933.00,2003
18,Portland Trail Blazers,20,10,10,970,100.9,104.3,-3.4,61.5,1.51,17.1,37.3,68.4,52.2,16.4,45.7,49.3,87.02,47.4,1761.00,2003
18,Seattle SuperSonics,20,10,10,960,102.8,104.6,-1.8,57.6,1.33,15.8,30.9,63.5,46.8,16.3,49.1,52.6,91.83,48.2,1840.00,2003
21,Phoenix Suns,22,8,14,1056,98.5,102,-3.4,56.9,1.36,15.9,28.5,67.5,48,15.8,46.5,50.8,93.34,47.8,2056.00,2003
22,Atlanta Hawks,24,7,17,1167,97.4,102.9,-5.5,58.4,1.19,15.8,30.4,68.5,50.1,18.2,46.3,51,92.59,46.9,2250.00,2003
22,Los Angeles Clippers,18,7,11,869,100.1,104.8,-4.7,56.2,1.22,14.5,35.2,67.3,50.9,16.6,43.7,49.5,93.71,45.4,1695.00,2003
22,Miami Heat,22,7,15,1061,93.9,99.9,-6,51.4,1.03,13.4,32.8,72.1,51.5,17.5,43.1,47.6,90.14,42.9,1992.00,2003
22,New York Knicks,23,7,16,1114,93.7,99.7,-6,61,1.13,16.3,29.4,70.9,50.9,19.5,46.3,50.6,90.72,45.6,2107.00,2003
22,Washington Wizards,22,7,15,1066,96.1,101,-4.9,54.9,1.11,14.4,33.1,64.4,48.3,17.8,44.5,48.8,93.03,44.2,2062.00,2003
27,Cleveland Cavaliers,22,6,16,1071,97.1,101,-3.9,63.8,1.38,17.2,33.2,70.7,52.3,17.5,45.3,49.3,92.86,49.1,2068.00,2003
28,Chicago Bulls,21,5,16,1013,95.7,105.5,-9.8,61.9,1.18,16.4,30.3,67.4,49.1,19.1,46.1,50.3,93.75,43.1,1976.00,2003
29,Orlando Magic,23,3,20,1109,97.7,105.7,-8,52.7,1.22,14.2,32.2,63.6,47.5,15.8,44.1,48.7,92.06,41.8,2125.00,2003
1,Phoenix Suns,22,19,3,1061,113.7,100.9,12.8,56.4,1.7,17.1,32.2,63.2,48.9,14,53,56.8,95.75,58,2117.00,2004
2,San Antonio Spurs,23,18,5,1104,105.1,93.9,11.2,64.3,1.45,17.6,32.4,70.7,52.2,17,49.6,54.3,91.37,60.2,2105.00,2004
2,Seattle SuperSonics,22,18,4,1061,111,104.1,6.8,55.5,1.37,15.4,34.8,67.3,51,15.6,50.4,55.9,89.8,53.9,1987.00,2004
4,Miami Heat,24,17,7,1167,105.8,101.4,4.4,61.2,1.58,17.3,28.5,68.9,49.9,15,51.2,54.9,92.15,55,2245.00,2004
5,Dallas Mavericks,24,15,9,1162,103.8,100.5,3.4,48.6,1.21,13.5,33.6,66.4,50.1,15,46.2,51.8,94.35,51.6,2287.00,2004
5,Sacramento Kings,21,15,6,1018,106.7,104,2.7,67.3,1.85,18.7,32.1,66.1,49.6,14.3,48.2,53.5,94.26,53.9,2003.00,2004
7,Cleveland Cavaliers,22,14,8,1071,105.1,100.9,4.2,63.2,1.6,17.8,31.7,68.1,50.1,15.6,48.1,53.1,91.23,53.4,2035.00,2004
7,Minnesota Timberwolves,22,14,8,1066,107.8,103.2,4.7,60.7,1.68,17.8,32.8,68,51.1,14.9,49.8,54.1,91.95,53.6,2040.00,2004
9,Denver Nuggets,22,13,9,1061,100,100.4,-0.4,64.2,1.4,17.2,30.3,69.3,49.6,17,46.8,51.8,94.3,51.2,2085.00,2004
9,Orlando Magic,22,13,9,1056,103.6,103.3,0.3,54.1,1.22,15,34.2,68.4,51.5,16.8,46.8,52.4,97.34,50.7,2143.00,2004
11,Los Angeles Lakers,21,12,9,1008,105.4,105.7,-0.2,57.6,1.28,15.5,33.2,67.2,50.8,16.6,48.5,53.9,91.71,49.1,1929.00,2004
11,Washington Wizards,20,12,8,975,103.7,101.2,2.5,56.6,1.46,15.2,34.5,66.1,49.5,14.6,45.4,50.3,95.66,50,1942.00,2004
13,Detroit Pistons,21,11,10,1033,99.1,99.3,-0.2,62,1.39,16.3,31.9,69.1,50.4,16.3,45.7,50.9,88.54,51.8,1906.00,2004
13,Indiana Pacers,21,11,10,1033,102.5,103.8,-1.3,55.6,1.1,15.1,28,67.6,48.3,18.1,49.1,54.8,89.87,49.2,1931.00,2004
13,Los Angeles Clippers,21,11,10,1048,105.3,101.6,3.6,66.3,1.45,18.4,34.6,67.3,52,18,49.2,54.9,89.36,55.7,1952.00,2004
13,New York Knicks,22,11,11,1061,102.1,103.3,-1.2,54.6,1.25,15.4,32.3,70.6,51,16.8,47.4,52,93.38,47.6,2065.00,2004
17,Houston Rockets,22,10,12,1071,97.3,99.3,-2,59.9,1.27,15.8,28.9,69,49.4,16.8,46.1,50.7,88,47.2,1965.00,2004
17,Portland Trail Blazers,21,10,11,1013,100.1,101.7,-1.6,56.8,1.25,15.1,35.6,67,51.1,16.8,44.8,50,90.08,48.1,1899.00,2004
17,Utah Jazz,23,10,13,1119,105.3,106.9,-1.6,65.9,1.51,18.2,35.9,69,52.5,17.2,48.1,53.5,89.65,51,2089.00,2004
20,Boston Celtics,21,9,12,1023,103.9,101.9,2,57.1,1.31,15.9,30.8,66.7,49.2,16.5,48,53.6,94.77,51.3,2020.00,2004
20,Memphis Grizzlies,24,9,15,1152,101.2,102.2,-1,64.4,1.37,17.1,32.6,65.8,49.2,17.5,46.9,51.8,90.96,49.6,2181.00,2004
20,Philadelphia 76ers,21,9,12,1023,99.1,103.1,-4,56.4,1.22,15,29.6,67.9,48.6,16.7,45.9,51.1,94.19,46.3,2006.00,2004
23,Toronto Raptors,24,8,16,1162,101.9,104.7,-2.9,54.5,1.44,15.3,30.4,65,47.1,14.5,46.9,51,93.98,46.4,2276.00,2004
24,Golden State Warriors,22,7,15,1076,97.1,102.1,-5,59.2,1.48,15.9,28.8,68.5,47.4,14.7,44.5,48.5,94.75,44.6,2121.00,2004
24,New Jersey Nets,21,7,14,1028,93.9,101.2,-7.2,57.2,0.98,14.4,32.4,70.2,51.6,19.9,44,49.7,88.95,44.1,1904.00,2004
26,Milwaukee Bucks,19,6,13,922,102.5,104.7,-2.2,56.3,1.44,15.8,31.6,69.7,50,15.1,46.2,51.1,92.59,46.4,1775.00,2004
27,Charlotte Bobcats,19,5,14,937,99.6,105.5,-5.9,61.1,1.47,16.6,35,66.6,49.8,16,45.3,49.2,92.67,45.1,1810.00,2004
27,Chicago Bulls,20,5,15,970,96,101.9,-5.9,63.6,1.21,16.6,31.3,69,49.7,19.1,46,49.9,93.62,44.6,1888.00,2004
29,Atlanta Hawks,22,4,18,1066,95.7,106.8,-11.1,53.5,1.07,14.5,30.8,70.3,49.2,18.4,46,49.6,92.49,40.1,2049.00,2004
30,New Orleans Hornets,21,2,19,1033,94.6,102.5,-7.9,66.4,1.38,17,33.9,68.4,50.1,17.4,43.2,47.9,88.87,44.7,1912.00,2004
1,San Antonio Spurs,24,19,5,1162,104.3,97.5,6.8,53.5,1.38,16.1,28.4,71.6,51.1,15.7,50.8,54,91.23,55.5,2210.00,2005
2,Dallas Mavericks,24,18,6,1172,108.2,102.8,5.4,47.6,1.24,14,33.4,69.6,51.9,15.2,49.7,54.7,89.88,54.6,2195.00,2005
2,Detroit Pistons,21,18,3,1018,111.2,101.6,9.5,64.7,2,18.9,32.2,66.9,49.8,13.5,50.7,54.8,88.88,56,1887.00,2005
4,Los Angeles Clippers,23,15,8,1119,103.4,100.7,2.7,56.1,1.42,16,28.1,72.6,51.9,15.2,48.1,53.9,92.91,53.8,2169.00,2005
5,Golden State Warriors,24,14,10,1162,103.7,102.2,1.5,60.4,1.52,16.4,27,68.4,47.4,14.6,48.3,52.7,94.78,49.2,2295.00,2005
5,Indiana Pacers,22,14,8,1056,103,97.9,5.1,55.9,1.17,15.3,28.9,68.3,49.5,17.5,49.3,54.1,91.07,53.2,1999.00,2005
5,Memphis Grizzlies,22,14,8,1056,101.4,97.2,4.2,58.4,1.4,16,29.7,67.9,48.9,15.6,48.4,51.8,87.86,51.7,1934.00,2005
5,Miami Heat,25,14,11,1210,105.1,102.3,2.8,54.8,1.31,15.7,30.2,70.5,51,16.2,50.4,54.3,92.11,51.6,2321.00,2005
5,Phoenix Suns,23,14,9,1114,104.4,98.5,5.9,65.4,1.85,19.1,27.1,69.4,48.8,14.5,50.3,53.4,96.82,56,2246.00,2005
10,Cleveland Cavaliers,22,13,9,1066,110,106.3,3.7,52.3,1.32,14.9,33.2,69.8,51.4,15.4,49.7,55.3,91.68,51.8,2037.00,2005
10,Los Angeles Lakers,24,13,11,1167,103.7,102.1,1.5,56.7,1.43,15.8,33.6,69,50.9,15.3,47.2,51.7,91.11,50.4,2216.00,2005
10,Milwaukee Bucks,22,13,9,1066,104,105.5,-1.5,58.7,1.41,16.3,34.6,71.6,52.2,16.3,47.9,52,92.6,48,2055.00,2005
10,Philadelphia 76ers,25,13,12,1215,107.6,106.3,1.3,55,1.66,16.1,29,66,47.7,13.2,48.8,54,94.04,51.6,2379.00,2005
14,Chicago Bulls,23,12,11,1114,102.5,103.4,-0.9,63,1.42,17.4,30.3,70.2,50.1,17,49.3,52.9,93.05,48.5,2159.00,2005
14,Denver Nuggets,25,12,13,1215,101.2,100.5,0.7,63.8,1.5,17.4,31.3,69,50.3,16.2,46.5,51.6,95.21,51.6,2411.00,2005
14,Minnesota Timberwolves,22,12,10,1071,104.7,100.9,3.7,58.4,1.65,17.2,29,67.6,48.7,14.4,49.2,53,87.64,53.1,1955.00,2005
17,New Jersey Nets,23,11,12,1114,103.6,104.2,-0.6,65.5,1.52,17.6,31.1,70.7,51.1,16.1,48.3,53.1,91.45,50,2123.00,2005
17,New Orleans/Oklahoma City Hornets,24,11,13,1162,100.4,102.4,-2,54.4,1.27,14.9,29.9,71.3,50.1,15.9,45.9,51.1,90.71,49.3,2191.00,2005
17,Utah Jazz,24,11,13,1162,98.6,100.7,-2.1,63.3,1.25,16.1,36.4,70.1,52.9,18.2,44.5,49.6,88.44,49.4,2138.00,2005
20,Houston Rockets,23,10,13,1109,100.5,101.4,-0.9,56,1.14,14.7,30.3,69.6,50.6,17.4,46.5,52.2,87.6,49.5,2024.00,2005
20,Sacramento Kings,24,10,14,1152,106,105.7,0.3,65.4,1.63,18.5,28.5,67.9,48.6,15.8,50,54.9,93.44,50.7,2239.00,2005
