#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,Chicago Bulls,24,18,6,1152,106.2,97.2,8.9,59.7,1.57,17.3,35.7,69.6,53,15.6,49.1,52.7,90.52,56,2176.00,2011
2,Oklahoma City Thunder,21,17,4,1008,105.9,100.2,5.7,51,1.09,14.7,28.7,69.8,50.9,17.8,51.2,56.5,94.48,54.1,1985.00,2011
3,Atlanta Hawks,22,16,6,1081,105,97.3,7.7,60.5,1.59,17.4,28.8,70.5,50.1,15.1,49.9,53.6,90.89,54.8,2045.00,2011
3,Miami Heat,22,16,6,1081,107.4,99.4,7.9,55.9,1.32,16.5,28.2,69.7,50.2,16.8,52.1,56.8,94.62,56,2125.00,2011
3,Philadelphia 76ers,22,16,6,1066,105.7,93.3,12.4,58.2,1.98,17.8,26.3,71.1,49.6,12.3,50.3,53.3,91.29,58.7,2029.00,2011
6,Indiana Pacers,21,15,6,1013,101.8,98.1,3.7,52.3,1.16,14.3,32.4,68.4,50.7,16.7,46.2,51.5,92.45,53.3,1949.00,2011
7,Dallas Mavericks,23,14,9,1109,101.1,97.3,3.8,59.4,1.5,16.6,27.7,72.4,50,15.1,48.1,52,92.88,52.7,2146.00,2011
7,Denver Nuggets,21,14,7,1028,106.9,100.7,6.1,62.3,1.47,17.9,28,71.4,50.6,16.6,52.3,56.7,96.63,55.9,2071.00,2011
7,San Antonio Spurs,23,14,9,1119,105.2,101.4,3.8,60.1,1.64,17.8,28.5,72.6,50.4,15,50.8,53.7,91.8,52.1,2140.00,2011
10,Los Angeles Clippers,19,13,6,917,106.6,104.7,1.9,58.6,1.54,16.8,31.1,69.1,50,15.1,50.8,54,92.26,51.9,1765.00,2011
10,Los Angeles Lakers,22,13,9,1061,102.8,99.6,3.2,61.1,1.47,17.4,31.5,69.9,51.9,16.4,48.7,52.8,90.59,53.9,2003.00,2011
10,Orlando Magic,22,13,9,1061,101.7,101.5,0.2,59.3,1.26,15.8,30.6,73,51.6,17.1,49.7,52.7,89.85,49.3,1991.00,2011
10,Portland Trail Blazers,22,13,9,1061,102.7,96.4,6.2,59.1,1.53,16.6,29.9,71.8,50.7,14.9,47.6,52.3,94.44,54.9,2092.00,2011
14,Houston Rockets,22,12,10,1071,103.6,102.5,1.1,54.4,1.4,16,32.4,69.5,51,15.7,49.1,52.7,93.45,50.7,2087.00,2011
14,Utah Jazz,20,12,8,975,103.7,102.4,1.3,55.3,1.49,15.8,30.8,70.9,50.7,14.5,47.5,52.1,92.36,51,1874.00,2011
16,Boston Celtics,21,11,10,1008,100.7,96.8,4,64.4,1.43,18.1,26,69,48.5,17.3,50.2,54.1,89.69,53.5,1882.00,2011
16,Memphis Grizzlies,21,11,10,1013,99.7,98.4,1.4,51.7,1.23,14.8,31.8,68.3,49.9,16.3,46.7,50.9,93.35,51.8,1970.00,2011
18,Milwaukee Bucks,21,10,11,1008,101.2,101.4,-0.2,60.6,1.49,17,30.7,68.5,49.1,15.8,47.5,51.3,93.52,49.2,1967.00,2011
18,Minnesota Timberwolves,22,10,12,1056,102.6,101.1,1.5,51.6,1.15,14.1,31.7,70.6,51,16.5,47.3,52.2,94.32,49.9,2073.00,2011
20,Cleveland Cavaliers,20,8,12,965,100,103.4,-3.4,57,1.17,15.4,33,70.6,51.1,18.2,47.7,51.4,93.16,46.1,1872.00,2011
20,New Jersey Nets,23,8,15,1109,102.7,110.1,-7.4,59.8,1.29,16,33.1,68.2,49.7,17.3,48,52.1,89.36,44,2064.00,2011
20,New York Knicks,21,8,13,1018,98.3,99.1,-0.8,55.9,1.11,14.7,28.7,72,49.7,17.7,46.7,51.8,95.17,48.8,2021.00,2011
20,Phoenix Suns,21,8,13,1008,100.1,103.5,-3.4,58.7,1.41,16.6,26.3,68.5,47.7,15.9,48.3,52.2,93.19,47.7,1951.00,2011
24,Golden State Warriors,19,7,12,917,101.4,104.3,-2.9,61.6,1.5,17.7,25.9,67.7,47.2,16,50.3,53.5,94.48,47.8,1802.00,2011
24,Toronto Raptors,23,7,16,1114,94.8,103.2,-8.4,61.6,1.27,16.2,27.7,69.2,48.5,17.3,45.4,49.7,89.84,44.3,2087.00,2011
26,Sacramento Kings,21,6,15,1008,95.8,107.5,-11.7,47.9,1.01,12.6,31.8,65.9,47.9,16.8,43.5,48.1,94.62,40.5,1985.00,2011
27,Detroit Pistons,24,4,20,1157,96.7,108.4,-11.8,55.3,1.11,15,32.3,70.4,50,18.4,45.4,49.8,88.82,40.4,2137.00,2011
27,New Orleans Hornets,22,4,18,1061,98,104,-6,55.9,1.27,15.8,31.2,72.5,51.4,17,46.6,50.5,89.44,46.4,1979.00,2011
27,Washington Wizards,22,4,18,1056,94.8,104.4,-9.6,50.9,1.14,14.2,29.9,67,47.8,16.7,44.6,48.3,94.48,43.1,2076.00,2011
30,Charlotte Bobcats,23,3,20,1109,93.3,108.6,-15.3,57,1.29,15.4,29.3,69,48.4,16.2,44.3,48,93.01,40.8,2152.00,2011
1,Oklahoma City Thunder,22,18,4,1066,112.4,102.5,9.9,59.3,1.4,17.4,28.9,69.3,51.3,16.9,53.8,59.5,92.94,57.5,2064.00,2012
1,San Antonio Spurs,23,18,5,1124,108.5,100.2,8.3,63.2,1.66,19,27.4,70.5,50.4,15.7,53.3,56.9,95.44,56.1,2236.00,2012
3,Los Angeles Clippers,22,16,6,1061,109.1,101,8.1,58.8,1.54,17.5,31.3,67.3,49.6,15.7,52,55.7,92.9,56.1,2054.00,2012
3,New York Knicks,21,16,5,1013,111.4,103.7,7.7,53.6,1.84,16,27.4,70.4,48.2,11.8,51.9,55.5,91.55,52.9,1934.00,2012
5,Golden State Warriors,22,15,7,1071,104.2,103.2,1,59.2,1.4,16.8,31.1,70.5,51.5,16.6,49.7,53.8,94.16,50.7,2101.00,2012
6,Memphis Grizzlies,19,14,5,922,105.2,98.5,6.7,57.2,1.38,16.1,35.4,67.9,51.7,16.3,47.7,52.6,91.21,54.7,1755.00,2012
6,Miami Heat,20,14,6,965,109.4,106.1,3.4,58.6,1.6,17.9,25.3,69.4,49,15.1,54.9,58.4,93.54,54.1,1886.00,2012
8,Atlanta Hawks,19,13,6,917,102.9,99.8,3.1,60.5,1.51,17.5,27.5,69.3,48.2,15.9,50.5,53.3,92.99,52.2,1778.00,2012
8,Utah Jazz,23,13,10,1119,107.7,105.5,2.2,61,1.55,17.3,34.9,67.2,51,15.8,49.4,53.7,92.7,51.4,2160.00,2012
10,Boston Celtics,21,12,9,1033,102.7,102.2,0.4,63.2,1.61,18.4,24.1,70.5,48.3,15.4,50.5,55,93.24,51.5,2010.00,2012
10,Brooklyn Nets,21,12,9,1013,106.9,104.5,2.4,60.9,1.53,17,35,70.5,52,15.7,49.1,53,89.32,51.3,1886.00,2012
10,Chicago Bulls,21,12,9,1013,102.3,99.2,3.1,64.2,1.46,17.5,34.5,69.1,52.3,17,46.9,51.9,91.47,54.3,1929.00,2012
10,Philadelphia 76ers,22,12,10,1066,100.6,103,-2.4,58.4,1.74,16.6,29.3,69.4,48.7,13.2,46.9,50.2,91.09,47.8,2026.00,2012
14,Dallas Mavericks,22,11,11,1076,103.6,104.1,-0.5,58.5,1.42,16.9,27.1,68.2,48.2,16.1,50.2,54.1,95.49,49.5,2140.00,2012
14,Denver Nuggets,23,11,12,1114,106.1,106,0.2,56.7,1.38,16.5,35.7,67,51.5,16.8,50,53,94.32,49.9,2186.00,2012
14,Indiana Pacers,22,11,11,1071,99.3,99.7,-0.4,58.2,1.3,15.6,32.7,70.7,51.8,16.6,45.7,49.8,90.33,50.6,2017.00,2012
14,Milwaukee Bucks,20,11,9,965,101.6,102.1,-0.5,60,1.64,17.1,31.1,69.2,49.4,14.5,47.2,50.8,94.73,50.2,1907.00,2012
18,Houston Rockets,21,10,11,1023,105.2,106,-0.8,60.4,1.35,16.4,31.1,70.4,50.5,16.8,49.4,53.9,97.55,48.5,2081.00,2012
18,Minnesota Timberwolves,19,10,9,912,100.8,99.3,1.6,61.4,1.34,16.1,34.4,70.2,52.3,16.8,46.3,51,93.21,53,1770.00,2012
20,Los Angeles Lakers,22,9,13,1056,107.1,103.9,3.2,57.6,1.26,15.8,33.8,69.1,52,17.4,51.1,54.8,94.91,52.5,2084.00,2012
20,Portland Trail Blazers,21,9,12,1033,103.2,106.9,-3.6,53.2,1.28,15,30.9,68.8,48.8,15.9,48.1,52.2,91.86,45.6,1976.00,2012
22,Orlando Magic,21,8,13,1013,97.5,101.4,-3.9,60.7,1.44,17.1,28.6,71.1,50.3,16.4,47.1,50.6,93.37,48.1,1972.00,2012
22,Phoenix Suns,23,8,15,1119,103,107.8,-4.8,56.4,1.5,16.4,30.6,67.9,48.5,15.1,48.1,51.6,93.23,46.5,2169.00,2012
24,Charlotte Bobcats,21,7,14,1028,100.7,108,-7.3,55.4,1.33,14.9,31.1,66.3,48.5,15.3,45.8,50.7,93.67,45.2,2004.00,2012
24,Detroit Pistons,24,7,17,1152,102.3,105.6,-3.3,58.4,1.35,16.1,31.4,67.4,49.5,16.4,47.8,52.2,92.17,48,2213.00,2012
24,Sacramento Kings,21,7,14,1018,100.4,105.8,-5.4,51.7,1.24,14.7,31.1,68.2,49.3,16.1,47.1,50.9,92.91,44.6,1968.00,2012
27,Cleveland Cavaliers,23,5,18,1114,100.3,106.7,-6.4,56,1.25,14.9,36.1,71,51.8,16.8,45.7,49.4,92.88,42.5,2155.00,2012
27,New Orleans Hornets,21,5,16,1018,101.2,108.2,-7,61.2,1.44,16.9,29.7,69.5,49.5,16.3,48.2,52.2,89.33,45.8,1895.00,2012
29,Toronto Raptors,23,4,19,1129,101.1,108.7,-7.5,57.9,1.5,16,27.9,67.3,47,14.4,46.7,51.2,92.22,43.8,2166.00,2012
30,Washington Wizards,19,3,16,932,96,102.3,-6.4,59.4,1.34,15.7,29.3,69.3,48.4,16,44.6,48.6,92.47,45.2,1790.00,2012
1,Indiana Pacers,23,20,3,1109,104.8,96.4,8.4,57.5,1.32,16.3,31,70.6,52,16.9,50,54.5,92.65,58.1,2146.00,2013
1,Portland Trail Blazers,24,20,4,1157,112.1,104.4,7.8,59.4,1.63,17.4,33.3,70.7,52.1,15,52,56.1,95.67,54.7,2306.00,2013
3,San Antonio Spurs,23,19,4,1104,107.7,97.1,10.6,61.1,1.75,19.2,24,73.1,50,15.1,54.4,56.9,96,57.2,2208.00,2013
4,Oklahoma City Thunder,22,18,4,1066,107.2,100.1,7,56.4,1.33,16.3,29.7,71.4,52,16.6,50.5,55.9,97.76,55.5,2173.00,2013
5,Miami Heat,23,17,6,1104,109.7,101.9,7.8,62.3,1.51,18.8,22.5,67.8,46.8,16.7,56.1,59.9,94.13,56.4,2162.00,2013
6,Houston Rockets,24,16,8,1167,109.2,103.5,5.7,54.9,1.16,15.5,31.5,68.8,51.8,18,53.7,57.7,97.36,55.6,2367.00,2013
6,Los Angeles Clippers,25,16,9,1205,108,103.3,4.7,63.1,1.66,17.9,28.7,70.3,49.9,14.9,51.2,55.2,95.6,53.5,2400.00,2013
8,Dallas Mavericks,24,14,10,1152,105.6,104.2,1.4,58.8,1.55,17.3,26.7,70.6,48.4,15.1,51.1,55,97.54,50.5,2342.00,2013
9,Denver Nuggets,22,13,9,1056,105.9,103.9,2,57,1.51,16.3,32.2,68.6,50.7,14.9,49.6,53.2,96.36,51.5,2121.00,2013
9,Golden State Warriors,24,13,11,1162,104.7,101.8,2.8,58.7,1.32,16.9,28.1,72.1,51.2,17.4,52.6,55.9,97.61,52.1,2363.00,2013
9,Phoenix Suns,22,13,9,1061,106.6,104.7,1.9,49.5,1.18,14.8,29.6,68.6,49.6,16.7,52.3,55.9,95.43,51.2,2113.00,2013
12,Atlanta Hawks,24,12,12,1157,102.8,103.4,-0.6,65,1.6,18.5,24.8,72.8,49.1,15.7,51.2,54.8,96.17,50.7,2324.00,2013
13,Boston Celtics,25,11,14,1200,101.4,102.5,-1.1,50.3,1.13,14.7,29.2,70.3,49.9,17.3,49.4,53.2,93.42,48.1,2336.00,2013
13,Detroit Pistons,24,11,13,1162,103.9,105.1,-1.2,52.8,1.28,15.2,34,70.7,51.3,16.4,48.8,52,94.97,47.4,2299.00,2013
13,Los Angeles Lakers,23,11,12,1104,102.7,105.3,-2.6,63.3,1.59,17.7,25.9,68.9,47.7,15.3,49.8,53.1,98.09,46.6,2252.00,2013
13,Minnesota Timberwolves,23,11,12,1109,105.6,102.1,3.5,61,1.58,16.5,33,72.8,51.5,14.6,46.9,52.2,99.57,51.5,2302.00,2013
13,New Orleans Pelicans,21,11,10,1028,107.9,106.6,1.3,57.2,1.66,16.7,33.3,69.4,50.6,14.1,49.1,53.3,93.99,50.3,2013.00,2013
18,Charlotte Bobcats,24,10,14,1152,97.8,100,-2.1,55.9,1.41,15,29.7,72.2,50.3,14.5,44.3,48.8,92.46,48.5,2217.00,2013
18,Memphis Grizzlies,22,10,12,1066,102.4,106.3,-3.9,59.3,1.53,17,31.1,71.6,51.1,15.4,48,52.1,90.64,49,2013.00,2013
20,Chicago Bulls,22,9,13,1076,99.2,100.5,-1.3,62.7,1.3,16.5,35.4,69.4,52.4,18,45.3,49.9,90.65,50,2032.00,2013
20,Cleveland Cavaliers,23,9,14,1119,99.1,105,-5.9,52.1,1.18,14.5,31.1,71,50.5,16.6,46.7,50.5,93.96,44.6,2191.00,2013
20,Toronto Raptors,22,9,13,1071,104.1,103.8,0.3,51.1,1.24,14.3,31.7,69.7,50.2,15.7,47.7,52.6,93.36,48.3,2082.00,2013
20,Washington Wizards,22,9,13,1086,101.5,102.9,-1.5,62.8,1.49,17.5,27.9,70.9,48.6,16.2,49,52.4,94.08,48.7,2127.00,2013
24,Brooklyn Nets,23,8,15,1114,102.4,109.1,-6.7,55.9,1.34,15.4,28.5,69.2,48.8,15.5,47.9,52.8,92.29,46.3,2141.00,2013
25,New York Knicks,23,7,16,1109,103.2,107.3,-4.1,55.2,1.57,16,28.7,69.8,47.7,13.9,48.4,51.8,90.74,47,2098.00,2013
25,Orlando Magic,23,7,16,1119,100.7,105.4,-4.7,55.2,1.26,15.8,26.3,71.5,49.1,16.7,49.7,53.4,95.53,46.9,2228.00,2013
25,Philadelphia 76ers,25,7,18,1230,99.7,107.9,-8.2,57.7,1.27,16.3,29.9,70.1,49.8,17.5,48.8,52,99.79,44.6,2555.00,2013
28,Sacramento Kings,21,6,15,1018,104.6,107.8,-3.1,57,1.5,16,30.5,70.1,49.7,14.7,47.5,52.2,94.04,47.2,1991.00,2013
28,Utah Jazz,26,6,20,1258,100.2,108.8,-8.6,55.7,1.26,15.5,30.9,68.8,49.1,16.8,47,51,92.57,44.1,2423.00,2013
30,Milwaukee Bucks,24,5,19,1167,96.1,105.4,-9.3,60.3,1.26,16,29.1,67.3,47.7,17.4,45.9,49.9,92.3,43.8,2241.00,2013
1,Golden State Warriors,23,21,2,1109,107.8,97.2,10.5,62.8,1.55,18.5,26.5,70.3,50.3,16.4,53.8,57.5,99.25,58.1,2296.00,2014
2,Memphis Grizzlies,23,19,4,1119,108.5,101.5,7,58.1,1.71,17.3,29.3,70.1,50.4,13.9,50.7,55.2,92.91,55.7,2169.00,2014
3,Houston Rockets,23,18,5,1114,103.8,99.5,4.2,56.4,1.12,14.9,32.6,68.1,50.4,18.2,50,53.7,94.99,50.6,2208.00,2014
3,Portland Trail Blazers,24,18,6,1152,107.7,100.9,6.8,60.5,1.69,17.7,29.7,72.2,51.4,14.6,50.7,54.2,94.77,53.8,2274.00,2014
3,Toronto Raptors,24,18,6,1167,113.7,105.6,8.1,53,1.69,15.9,31.8,68.9,50.1,12.8,51.3,56.2,93.47,53.4,2277.00,2014
6,Dallas Mavericks,25,17,8,1215,114.2,107.3,6.9,56.1,1.96,17.4,29.8,66.6,48.3,12.3,53.3,56.9,95.05,54.7,2407.00,2014
6,San Antonio Spurs,24,17,7,1162,107.2,100.2,6.9,64,1.68,18.5,27.4,73.7,51.4,15.2,51.5,55.6,93.91,55.2,2274.00,2014
6,Washington Wizards,23,17,6,1119,105.4,101.2,4.1,65.8,1.72,19.1,29.9,72,51.5,15.6,50.9,54.4,94.2,55.4,2197.00,2014
9,Atlanta Hawks,23,16,7,1114,108.3,102.6,5.7,67.2,1.73,19.2,27.4,70.9,49.7,15.5,52.3,56.3,93.91,53.8,2175.00,2014
9,Los Angeles Clippers,23,16,7,1109,112,105.3,6.8,62.4,1.9,18.7,24,72.7,48.7,13.4,54.2,58.1,94.61,53.6,2184.00,2014
11,Chicago Bulls,23,15,8,1119,107.4,103.3,4.1,60.5,1.5,17,30.4,71.2,51.8,15.7,50.6,55.3,94.39,53.6,2202.00,2014
12,Cleveland Cavaliers,22,13,9,1061,110.8,106.2,4.6,59.1,1.62,17.2,31.3,70,50.6,14.7,51.1,55.6,93.1,51.6,2056.00,2014
13,Milwaukee Bucks,24,12,12,1172,103.7,104.9,-1.2,59.3,1.33,17,30.5,67.4,49.3,17.6,49.8,54.1,94.28,49.7,2299.00,2014
13,Phoenix Suns,25,12,13,1215,106.3,105.9,0.4,54,1.38,15.9,27.3,69,48.1,15.5,51.1,55,97.24,49.5,2463.00,2014
15,Miami Heat,24,11,13,1152,104.4,109.3,-4.8,59.1,1.43,16.8,26,68.1,46.9,15.7,51.4,55.4,90.1,47.8,2165.00,2014
15,New Orleans Pelicans,23,11,12,1109,108.8,108.2,0.5,55.4,1.86,16.7,30.4,72.1,50.4,12.4,49.8,53.4,93.99,49.8,2170.00,2014
15,Oklahoma City Thunder,24,11,13,1157,102.1,101.1,1,55.3,1.23,15.3,31.5,71.7,52.2,17.1,48,52.2,92.81,50.5,2242.00,2014
15,Sacramento Kings,24,11,13,1172,105.5,106.1,-0.6,54.7,1.19,15,33.8,72.8,54.1,17.1,48.4,54.5,93.99,50.9,2297.00,2014
19,Brooklyn Nets,22,10,12,1076,102.2,104.1,-1.9,56.2,1.4,16.1,27.7,69.6,49.1,15.6,48.8,52.8,92.61,48.9,2075.00,2014
19,Denver Nuggets,24,10,14,1162,105.6,107.2,-1.6,55.7,1.45,15.7,31.7,70.6,50.6,14.9,48.2,52.3,96.54,47.2,2333.00,2014
19,Orlando Magic,26,10,16,1253,100.6,105.6,-5,53.3,1.27,15.6,25.7,72.4,49.4,16.4,49.9,53.1,93.49,45.9,2439.00,2014
22,Los Angeles Lakers,24,8,16,1167,105.3,112.3,-6.9,53.5,1.7,15.5,29.2,69,48.1,12.4,47.6,52,96.21,45.3,2338.00,2014
23,Boston Celtics,21,7,14,1023,104.1,106.4,-2.3,63.4,1.71,18.5,28.5,72.4,50.2,15.1,50,53.4,98.6,49.1,2102.00,2014
23,Indiana Pacers,24,7,17,1162,99.6,103.9,-4.2,55,1.34,15.3,30.4,75,51.8,15.6,46.4,50,92.86,46.1,2245.00,2014
25,Charlotte Hornets,23,6,17,1129,99.9,107.4,-7.5,56.4,1.82,16.1,25.6,75.7,49.4,11.9,46,49.9,92.53,45.5,2176.00,2014
25,Utah Jazz,24,6,18,1152,105,111.4,-6.4,56.4,1.35,16.2,30.9,70.2,50.5,16.4,49.8,53.8,91.17,47.5,2186.00,2014
27,Detroit Pistons,24,5,19,1167,99.2,105.3,-6.1,56.7,1.41,15.2,30.7,70.9,49.7,14.7,45.2,49,93,44.6,2260.00,2014
27,Minnesota Timberwolves,23,5,18,1114,100.3,110.6,-10.3,59.2,1.42,16.1,31.9,69.4,49.3,15.7,46,50.7,97.29,44.4,2259.00,2014
27,New York Knicks,26,5,21,1258,102.8,108.9,-6,57.8,1.38,16.8,30,67.2,48.6,16.6,49.7,53.2,90.54,46.2,2374.00,2014
30,Philadelphia 76ers,23,2,21,1114,93.3,105.4,-12.1,61.7,1.12,15.6,28.1,68.8,47.4,19,45.9,49.5,97.25,40.4,2253.00,2014
1,Golden State Warriors,23,23,0,1109,115.4,101,14.4,67.9,1.82,20.3,29,70,51.1,15.9,57.5,60.3,99.85,59.2,2308.00,2015
2,San Antonio Spurs,23,18,5,1104,105.1,93.4,11.7,63.6,1.77,19.1,26.1,77,52.7,14.9,51.6,54.9,95.02,58.7,2187.00,2015
3,Atlanta Hawks,24,14,10,1152,104.7,102.8,2,66.8,1.7,19,24.5,69.2,47.5,15.3,51.2,55,96.71,52,2316.00,2015
3,Cleveland Cavaliers,21,14,7,1023,106.5,102.6,4,60.3,1.56,17.2,29.5,75.1,52.4,15.2,51.1,54.5,93.91,52.4,2003.00,2015
3,Oklahoma City Thunder,22,14,8,1066,109.2,102.2,7,53.9,1.31,16,33.4,72.1,53.5,16.8,51.7,56,98.27,54.6,2184.00,2015
3,Toronto Raptors,23,14,9,1104,105.9,102.6,3.3,51.2,1.28,14.5,30,73.1,51.8,15.1,49,54.3,94.63,52.4,2183.00,2015
7,Boston Celtics,22,13,9,1056,104,98.3,5.7,64,1.55,17.6,30.2,69.5,49.4,15.9,48.9,52.9,99.43,53,2184.00,2015
7,Charlotte Hornets,21,13,8,1013,104.4,100.3,4.1,57.9,1.76,16.7,22.9,75.3,49.2,12.6,50.1,53.9,97.26,52.3,2055.00,2015
7,Dallas Mavericks,23,13,10,1109,102.9,102.3,0.6,58.7,1.6,16.6,23.6,72.9,48.8,13.8,49.2,53.7,97.75,52.2,2261.00,2015
7,LA Clippers,23,13,10,1104,104.2,102.2,1.9,60.1,1.63,16.8,24.8,70.2,47.8,13.9,50.1,53.8,98.43,51.6,2260.00,2015
7,Memphis Grizzlies,23,13,10,1104,100.1,105.1,-4.9,58.9,1.48,15.9,27.6,73.2,49.3,14.6,45.6,51.3,95.61,47.1,2201.00,2015
12,Chicago Bulls,20,12,8,970,99.3,98.9,0.5,61.4,1.57,16.7,28,71.1,50.2,14.6,46.6,50.4,97.76,51,1975.00,2015
12,Detroit Pistons,23,12,11,1114,100.3,100.5,-0.2,48.9,1.27,13.6,31.6,75.2,51.7,14.5,46.5,49.6,96.54,48.2,2248.00,2015
12,Indiana Pacers,20,12,8,965,105.4,100.9,4.6,55.3,1.35,15.6,28.7,70,49.3,15.6,49.9,54.1,98.41,52.5,1978.00,2015
12,Miami Heat,20,12,8,960,102.1,99.3,2.8,55.2,1.38,15.9,24.6,71.2,49.4,15.3,49.7,53.7,94.15,54.1,1881.00,2015
12,Orlando Magic,22,12,10,1076,102.8,100.5,2.4,57.1,1.5,16.4,30.2,71.8,50.8,15.1,48.2,51.7,96.38,50.1,2160.00,2015
17,Houston Rockets,23,11,12,1119,103.2,107.4,-4.1,57.8,1.22,15.4,29.3,69.7,48.9,17,49.1,53.5,98.62,46.3,2301.00,2015
